variant_id,character_id,character_name,skin_id,skin_name,element_type,weapon_type,rarity,embedding
10000002_200200_冰,10000002,神里绫华,200200,莹辉流华,冰,单手剑,5,oLi2vbTN2jtD8jQ9qh3hPVi9E73gKd87UnOQvWTz/r2rQjW9YJO6uwmnZr1pzeY93yuFPQzEdj1mc/k98nuCPJwLvLznNLm8KiMtvatTlDw6Gfe7XaxrvRi+db0Trum9SkIGve/D0L3hZC+97KTHvd/xw72p+O48zkCMPVfcKby1crU9GjYdvXuQdb3jtwo9JBEGveKgFD7qM849rsN0vba9cDpNB/u9aJiUvYxJoD1bMI+9bY6XPaIN3jxSDR67o0QCPjJ57bweOIk7N1eDuh5FAT3XLEW8OvL5PBu3AT6f6rk8wMGNPOGRKz177Vq9nSebPevhzb0on6a8L1BCvXyUFD3wq5U8X3uUuz3i9LwtNHg9H//qO3S0fz2d3no70jKzPRujhDxN7LU6XkfmvIKsED2DzsS9xvMjPVs+Z701flY9XWoRO0hyHz2ejG88AbZyvKExhT0VGXU9ERt+PWWxBb66Ysc8RKxjvg7wHb0po8w7wbJmPGCWrzyCC8G99buRvSjlH76UrjC9vXoavkLdNj0EWJa8sjP0vC6AyLtlfI89q3A/vFAOpT1Da+m8r3LFu+yr5Txiuos9PvoQPL596LteN0E7Mts7PZVGWDyXt4u8FDCWPYbKXrwVHYk7tNubvSosNb3Pc3688s+QvcL8cb1+YBU9PpR4PUaggjwi7km7dtJXvcqA7LzbEIO8ECFJPVBdTzyBREw9zFL0PSXqgL1PGbU8bBQ0vYZyib3vdsi7Mu9Uvad8hzznMZ88xYKmvOdTqTx3iLg766xwPNRG1z2n5wo+o1fsPT1eF73m4tY6U2cvPbDmCb1gcIE9p2KiPIakDbyKe2q88/0RPgF5Vr1glZC7YpZ5PULpjTyol0Y9WplCvI5jiT3HjRU9fmSNvD+z6ryvCi29RuPDvHZEqzwL6v09Mvt/PIBSuT2pcqK6uPjtO083kz3bKwO+leoYvabslz1lPwk7jB+GPOTUnb1eSJI9f9uzvdRyAL1T7Xc8V2lAPc64C7wMUvO8OLjgPYoSADwMEi86ZWBKPVEqtzx7LV89MDaFvVrbyryOuns9IUilvQBZgjzg2DI9e/cyvrl0jT0P8XI9i1ysvW1+Zj2f3w49xIWrvTwP4j1DzP07V7GLPYj7kz0n9le9bJAevQfZBb2LyGA9BXPEvLuoob1MibQ9H0tVPWQAAD18TeI86pUAvogPn70snFU9tf/TvcfaTb2r00M9g7cVPcF+uzrwR4M9KJlLPX8kZLwenVW7Yz5uvav8rr1fMTq8aJTOO/M12D0GDY+93dkHPvaZFD0bmhE8LGGKPC8i4r1ScPY7hYHZPHbpyb08OG88z9aOvDsJhT3ri/I8aAiDvQ==
10000002_200201_冰,10000002,神里绫华,200201,花时来信,冰,单手剑,5,OqaovIGkVj33gUE9+Zw+PVrOYL3vntO8/1rWvJxeSb0EV+c85aPjPFAm2rsWKwQ+aM7ZvA0TLD3xuL48kjcZvEWL7Dt+gGK9TLLou6LGDD32BHs7gcV3vZW0x72cbPC9c78lvUprA76Jwxy9g8RnvXbKf73TP2I9iFEGvfO+JjypDrc9bPSnPCASO726nGg9C3EwPba+2D2lwbc9rVQJvsgMWrzkiUS9mkiUvWxD2Ltz84o6jpp2u1SEjT15jJk9saiAPaxphD2fnxG8C86YvXBZz7xr73a9VPj4unwPUzyAVL69U9VfvbFy0DxMjwq9OSvJPS6nRr03B/W7FFgePVvOVj1KxLe9CWXHO26g871BGrI8+m9BPQz8Gj3nxcU9LvLWPNf9gz3LXgw8jpE4vIenzDweOWy9VqMMPYVYh7yD4JY9eE3PO1Z3hT0mkeK8cF/Avb0QIb27uGy9/Y09PYWNBr7mz008tBw7vpvQbr1SQKK9Q1XvPPgJoTwAeva9H5MmPDbKx70f0R49G+oyu6lF0T0NTYi9chSzO/ppXr0OESA9e/yaPYDdkj3toho9ZkMHu94GF7xO5+Q87LX6PIQ8i7ybkK69gbIyPYwZAL75CYY7L3dIPRlLTT0/bDA9sCvcvauDc72o1ba9rrToPHbziTw3GRe8Psqyuq6h6Dp20Eu93Gr7vDkb0bxmxaA9UqihPVk3oD3EvDi8ZimkPVuhwj3rGrI8OMFHvfR6Rr1axwG9G3SavV8Wir0uKhm9hR4xPfT8gT3mSJy95k+rvRL4iT3GXjw8BU2qO/UqH7w4lFQ9aJNrO3HUgLz0M6Y9fhbcPRXpfr3WkiA8hWiqPCP+vDw5Ot+9JglEPRojcjv2PTc8s9XovM2nOj2asaK7v0BvvTDB/T0EGkm9jJBLvR/rCD25ST4+6KzbOtMQeT3X0rk5uAyvPW4e4z3rzi695Se0vTDTuj1XW0A9ivmdOgDNqjxfJeU8qVV+vUj1qztVN1o9pGXzvNXkBT4v+fU92sPRvIh4N7zXT4k9+b1IPQxeRr2yq4M96iMTvIRb+L2sxFW9954oPADKpLzrlNs8uP6mvUODNz06GrQ9ZIfOvXeY4T0czoc9OfEQvYf29Tzrx4W9faNiPRNXojyi+6G97yeRPLJ3Vj1bSJQ9pTFFO4vBur0SqjM9628ZPey2/TxoR+o8uW0Avt0T0715OaA9g8IKvmdWSD0OC2i8/GSfPekgy71fot88/0fcvMzkYD0wRIu95IQQvGWYwrxJ/aq8MvCFvQha9T1xuQa7tBUAPmoJ+bvF71s8V37RPX5elL3kn029l6CvvUi3db2iUR29ByxFPbI5ET1KgJo9xjJBPA==
10000003_200300_风,10000003,琴,200300,风之虔护,风,单手剑,5,xNy7vQ3nIbr3R5U94qEjPeddnrxLLla9smIYPbZT4b2JfWI8llYEPci47byfSX87VQL2PGBrbz3zsi68XX28veI1/Ty6xYe8q+PqvN+m0j1Lbga93hsSvKJQs711AVO98BfevZd1hL1bHnQ9ajkIvnGpyb38EZg9DgGCPQeIeLshlGE9ZPFivDWH/b3SiE08mvk6vJNuhjzDqeM9GYqNvRPDQ72a9Eq992mUvSlKAT1OPDY83xEbOnlfcT0cNh89SpgtPcKzQT1xxKe9iKTIvJGwd7xbxpK86GpsO8hGxj3tWvA94LJ9PfzTmbx/YWu9m29dvO0hX71J7oU9AdmgvGZagz0c6/27joIPvSH0C7xRjA4+bPzzvE/8WD02VrS9FINtPILsOL1xvNK8noLZu0gJar32QX+9zRhrPMxnf7225LE9UTs6vZgXlj3yI069883avUJKJbyvqew8vtsMPR1OkL08Dh084FMDvqQI0jwV1pa9GRwlu6cckr1Md2S9HRiePIzqk71kG8Y86vTSvbRzcT0oeTe9evQhvYdwdT3LA3I9jED2vKnx4DtaOao9TviOvP56/jzihqg9QhE+vOMtzL3MlkW9YtIEPp6pg700Qs88A5J0Pci7Nz3uUpS8WwrevZu4g719sPe9kykeOz650DwXet89joYBPsNpmzy25RY9ibQrvFi3X73qOqc8JSNGPL86pbqwNE67Kp6gPYQlm73NU3A9ExwxPCIO/L3k0lg7s/S2vcfeU7z5fVq8dtsLPeBF+j2QcdK7DTQXPScJGj0XGtQ9L5y5vG92TL0pCVC8Zg0BPL422zyFhmw9P7iRPfdph73mih49wFOBvAI11rxvo+e81lIxvW4LpD2KmxO9vRQDvsVkqz0Eo4E9Y39+PGPQiD0NLn69ByWnvcKkmT1/Hs89gSA0vVBEIz2hYA299yVSPbEGHbpSwJ29oLXUvX9+zT1dXbI9/8muPOlhbb1kKYY9oNAvvYISQDyf/rI7wm1xPdrO8j16jdM9421QvccI0LsI+hQ8l5OgO9fxH73dZx09PqzDvVQJpL2f14c97hORPD1H9z0Lqw49ecL2vdEAgT1Gy5g9InaXvT5wWj1YH049Fo7CvbE7aDu4Zea8iKCxPcyhk7y8I4c98hx+vHJhkL1tVYY9xj1xvWyilL38Tl09s60WPTmzjzyMYdE86Sb5PAsZLDwtmpU9Qme2vVDfJr3uvVa8AdKdPTyKu70edxA9P8HivDfuHj1pTdk8UfYhvT/Lx72EXWA91rgZvHSIPz0Ko8q9p3EZPuDpcD0xlFK9WfY0PWcj5r0nAMI8CG/4PO3A570kZ6a8JqA3vX0Enz1vy1Q9MIfqPQ==
10000003_200301_风,10000003,琴,200301,海风之梦,风,单手剑,5,VajcvXOpOD0oJHE9sSnjPSNP8ruLOdm9S+SDvWJTQ73xtEK9ecjTPCMKgDz1kT09qFXFvSBGxj1/U/89zWWgu7ySOL2/4IW9pnJYvapAsT1auuO8qdljvJ02nLxQ9Yu8jwqDvW5G2rwbGyU9bgKyvVRCmL22rSs8TnQdvPxnMD1x8/k9sXbfu/HKAL5XB649PlTIPbqH5DwovDg9vGC6vVpmL71Wq8e9IXiDvVVQKLv7g8q9j4W8PKVF2j10lIk9ALXePYz83D3QCza86nzuvE9FTr1EkRu8w7GRPWpz9j2pjUw9fVftPNX14zy45JE9s/dWPJWFJ702BsI8UVCOPOfpFD5H+je9ZUagvYTa/rwbmLw9BvYBvUYSfj1I6XE8dUuAPaYZTD3v7io8VpqPvdhtg71CnG+8jJNRPbntFby+dbk9yCFIvGnXmTwC+sQ8W+cFvp2dmL0fdpi8jGtYvQpamb00yP+8tJOJvReW6byZG0C9C15ouhrrhTvoo767X5ctPa1S8DskCxc9UvSbvagegj2/a4S876elvY9zoDxPGym8lUBxvStZ7TliELI9lpvYvSCE2zxHr5c9ub0ovF61Yb2BR1y9sDlnPeCKMr1bvQQ6dgI2PTkDvToQdWq9W/uwvcSdpD29gfO9HXQRvBLqRD3vclw9G/6vPfPltDzNVuO8ub6OPGPQDr1v+6w7yuPGO3HABL28TVk8VSuvu2aYfb0jf5M9zoBNvTCjJL1Hlmm9NhTevXwG8rwr3rO8RreWPVu4pbwJNgU9U6G+PMhdUr2czpw9NxOwPRMjt7wY7Gg9iIDMPELkWz03XrA9rGS1PcIKprwx+5A9XEawPW/VTj0082u7tOHMvLJHgj1yXIe9Q0WNvRC0sT1JsqE9wVGJveW0Uj0mVrO97Zn+vChd1zxPorw9QS7Ku6Q+/zxuwGk8kl8oPrmjVr0OY4y9b8GqvVcMrLzxidM99yQivUzqPrwEZWc9REo+PNuki7zzkDO9QPHUuNsTaz105rY8fxYRPDHuxj0cRP86D/FiPYWGeLtqUYk9BCLGvfzNDr5ADo48BipBPGSU0zx+1mq6tMMZvjNf/j1Cwvs9HYVbvZGsgz2WNDw8hjqUvYGzUbw5NeU8PkMaPdnpmj3glIY9rU1Tvbv/rb3Tib09vpaUvbvkerusQYu61lc4PRSZqzygVhu96/m2uoEVMr3LzSQ9xR18vbrQCL3o4JQ8uraxPTBj8L39HCA7JJ//utItgz2bHj69atYivf4Kk73/k848rDfAvOEDej23EYi9TIWmPTNzij0FZZC8ZzZ5PV4c873oAGM8SH3cu0aN3729nZu9LdEvvROS4jwulRw+7matPQ==
10000003_200302_风,10000003,琴,200302,古恩希尔德的传承,风,单手剑,5,Ra6wvb3kkTzs+Ao+Vq0KPTuhM70m82W9aCAjPeYQJj03qZq9GMZGPWMLCD1FJR+9FWsevGAGGD4cix+95eWrvGhpG7yXWei8K9WuvBz/Ez2u5Da9aAudvHqaUr3JV6m9JHODvRISP7xdLa89iTHyvdIv672iKmI9dvF8PXUYLr3CbjA9ONw/PNTU+b2FtM49jlumOwbKgD1uUIY9pfcKvtpZqzzByYG97IRHvTf6CT0TWb07kXLnPP/hyj0LV4g8WeeGPbIKdTxj/8C8k7TsvHuPsL1xYky83pPrPYGcCT5FR7Y9htOQPctD8Lz0VzA9zgwRPaq/W73OAB090+Q2vTfwsj19zOw8CyYmvaBsDr0Xbog9n/VMPLq8Tz3TUEg8axxgPQCbKztYWRo7QQfWvIKeTr2ZV7G7FxOTPVWvZL3Q+Ns8fhsUPMyMJT3o6xm8GdOfvUz5bb09wpM8BHpSvRaYI77LbnM9R3x9vQFOujzLBZ68yx8Ivb4jSL2/xVS83WWrPGuiAb5P5vs7R6KUvZBz/T14p1k8DJrYunz2CD00Iow8oEtWvdgl3bx5lR8+0zYWvbeuYT2aLPE9cPW0u4kpSr16tMO9WzoZPqAF+70NxX49ZyeXPT9sF7y/Tja99IEpvSr9cDxhq8K8+9x4vaqPrTw1IYE9ljA0PcxUoz0rNKi7haNpvd4ggzuypWK827iwPb+ssr0cuIy8JFpEPfa+6LsS9mO7MqNvPT4rTL3k8yM979H7vZuMW70z4O080sXJPeCzgD23U1M9jDZ3PIUbwr0dzcc9sB20PTWErbzahqs8sPIqPdjf7Dz24xu8oL9TPfwPR70VMSW9NNS7POtC3ruULKW9gU3SvXRolz2HceO6X6vAvX561T2tOYg94z6+vBOAOz0Ir/M8nYZIu4MpxLtpirY9ZPSWvSBq1bx20US9elSBPaYZML3KRgq9YAOlvXmxO7zkNqs9wTaOPXSTcTuoiDs9hSHvu9FUjz05Ycm9MpO0PQOluDwKqYA8JdQuPDMEVr3hToW9ZSJ+vPwn5bsxXB89qEWkvdOcjr3aOs88sN7KvFFvez1e2kE8SmgFvsA9ETxBWQU+Ig5ivapKBL0FIE89ugAbvYoPoj2+dVS9GYYdPXFeJTwPQ3k8O24QvTY3xb1f9/Y9ahHZvfCRwb1fMNy8D7KqPUBNcD2aXng9wA4APoEi5LyRDPs72mSMvSjMdbwi7Bg9fdWOPSjQnLr0aU08taixvMmv0DxtC2W9k+wCveftvr1c29o9qYkUvA9SxTycqJg7B5C0PT2j0D2Z0ky9WdGKPWFT6L2xUxc9QTIUPcL79b0jmv27mnZrvbokJT3+1bg8NCSiPQ==
10000005_200500_冰,10000005,空,200500,初升之星,冰,单手剑,5,01XVvUsaZbsPCVY9SfiwuzjY2Dt/Kxi9Np1YPfVxCjyaTbW9sHaePOnVTD2T+6Q89F6jvd6bBDr2LWe9JxsevVgngz288bm8khepuwhZfzq9z029sdYiPM5zzL2nq6W9FF8WvcvXcz0GXpw91qAAvvE8l70cNPI9K5OIPE/dUjxdGdM91suQPHt3rb02mCY8zjUjPYDfS7uw/Jw9RetXvOll170ZmdE91jj0vORiF7yahXI8aztdPexTMbxafy291rCkPPLkVDxgyqW8GFVYvWK9lr1Klt+9Pt9JOptfDzwakYU9f4OFvQMW8z282Mc9nnjcPddwErzM9vI8WjGevJScAD5muSQ9qM7yvPUlib1s9Tk9xJs9PbFg/j1kPYA9NUu+PcAk5zxoguY8iupYPeIpZjunK3Q90LITPb2zh7yrs748yfjGu6j3g7psXl+89StjvdAekb2wykW8YcBFvNixvb03TwE+ds35OtBk2bz8oXC8kbcdvSdrlr07GNE7A0iXu5qQyrzY3Fo9b4tFPZsEvT0CTxs9BbhRPY51pjyp2+Q9XR0uvbJW3zy1prc9hWoHvpXrtj1CSRa8k/x6vbCuLr1uZbW9/PEpPRlykr3aQbm93PSpu7lY0j1KMc28undfPePjQ7ufade9ZW0aPZ0SCL1Addy8St2rvNhDrb27Nne9AOItPSdfLL2rDuo8uBe5vPTR4L2B4vG9590bPRU4SjySiau8GHgvvE0BI7zZrzu9o2ZyvdwdgDz4EVC9DHC0PUnixT2oqpS93JXmPN4ENT1Bt8g7DJJTPG424LzkaTq9mdE7PA67cjz8VuQ8CKV8PGfHsLxvLaA8S/c0vV0BfL0nqag7849TPWasNzy0toQ9S+FZvPxQuD1hytI9EgwYvhUq9jsTXtA8FHCDu9+f5rwZaZ09OIUovsn19Tw4XGE9dXSmPQTCnz04bpI9Vk4Ovvirw7uSlqu6Df8CvJR2JjzEpDo8KLm0O/rdkT0bXak9nzY2vYeURT4SL7E9pLUwvaX/27yb4s+8A466PWqbe71EX3y8MCmAvfZYjT0n+iK9ZNJxPc6UmLsu2ma90fxqO0mvb720egE+dutcvUtoEL4DHKy96ZtCvRWhHz0suYO7eZExOxcGRT3VahI7uhE3unpgJj0Dc6I9T8J3PfDKBz053H29MWuUPafu3T3rrCe9jygeOizLLb0k7OQ71jTXPHWctzxe9fW8hH+DPZbWTb1CFWq8n8ELvesBJD1t+sK9AkSSPYzCBr73mn49V/HUvTIazbyzx4S93+t6PZ5Cyj1ohpK95QAnPpzfNLxcBuC8aRT5vejhgr1TuCm9GHtBPcw3jD38xCQ8K+urPQ==
10000005_200500_岩,10000005,空,200500,初升之星,岩,单手剑,5,LKHXvQitRbpHUlQ9q0sTvCj8bjzMGw+94VNJPSrMmTwRkrS9vYXQO+1jPD2utGs8/U6pvWJLXDzJN1e9tFUyvR3ucz2srqK88pVevF9AOTumYke9PzlAPDCqxL3dg6+9Gx3jvLBRaz3fI6I9Fsz/vUkvn711ifg9VESPPEJoATxUvcw9MbOBPMHlvb27KZU7fG46Pbp5IbyWApc9n7KEvKYC1L3L98M9BKfqvMobQbzA7KU7w4V+PQRnVLzCYyy9YIfSPFT4/DtLmbG8BRdQvaVInb1hNdu98z0rO/u82DpRRYs9WnmHvee36D3CEMs923bYPZFDG7zB6tA8ZAWwvI0A7j29oCc9P0muvCUDjb3+FDs9dNpLPagEBT58cmI9n5GqPeKz9DxZuMo8e7VpPSnxiDsCEIU9ZYUoPfCYS7xtntc8sjhUO7486Ts5GEW8UCBfvXjIhr1SzBG82Qj0vMjytr1/ews+MWPHO3GTnLzppX68iB4NvYLynb0o1fU70ggyvJ3o7rwWoG09vA1QPRWltz2anxs90U83PYVguzwl4N890YE7vU9t0jxge8A9ge0Fvs+gsj3ojQy8uFOFvTc3WL0FqLW9D48vPWEEfb0MIsS9GyYLvInJzj3iHsC80QaEPSBvpLvrkda9iD38PMjjDb0mIQm9W89AvGBauL2eVYO9NfskPZGaG71YFMU8oUrOvPy1573JJuO9BtIAPWbqMTzU5IC8G3IwvB3Oarywskm9gDttvZONpzzeWk29UKjFPUp/wz2znpi96p/fPHLoSj3dSm88EenmO0qE5ryl5Ui9l66CPOa+oTxTqLg8YfKZPLw14Lw3bhM9nHM7vcDJYb3Na7Q5wwNWPXMh0rpVNH89CbrXvPdHrz27uNA9dRUQvsX3STwpJsY8OYG9O+t0nrxxX4k9UNcovjl1+Dx8KHI95xKoPfixkj3kJqg9IysOvraR+rtcfP+7QGkFvKz0/zvNtiY7pfQGOnerjD1XYrU9CQgpvZtCRz6khbg9Odw+vb0gA73QgqS8wBamPfyxeL0rJk285h5mvQPpmD1wlku9IXlUPWidGbtt7mu9/yohO+qKab0pMt09zYZavaywG74qdJ291Rg5vb0EID3gA707XWVGuyZeVz0ZWB88iRj9uyrFJT2lgpw924eMPYnN6DzM0Yy9V5eVPQb91T1B4ge9vcumulRUOL03Dgs824krPTsVoTyughm9CyJiPY59I72EdIq7AzcnvVbkMj121ra9OS6QPVK7Cr6GSY49OrPXvSTnu7w+d5W9Se9cPfn+zD0/i5u9/9UaPjh1HbzyOym9apP1veBSj70THV+9bSlAPU2Vnj3c1Ds8DTakPQ==
10000005_200500_水,10000005,空,200500,初升之星,水,单手剑,5,x1nRvVMUI7tW+ZE9LxyhvLep7Tstqwu9TgFzPd6LPjpJQ5q9U6hvPFZBQj1FOSw7TsGjvRh/urxX7069DkA7vW/OaT2KfBO6eGW+vL1Hx7spX0W9OPMXPNbz2b27waO9Ci8Vva2SiT1Y+ow9PuoKvhCQbb3DhOo9exlzOwaV7DzUsrA90E4xPGzPlb28r/s75gWIPVXSk7yisqQ9xgIDO8D2yr22Ztk9i7M6vJ1g27l28Nk8XoaUPWxIirt8PUy9UB66PCVcjjzy0qG8vzNcvYZ9ir1EUfO9rEvAO7gZDLtuXJM96zxwvSJ36z1ros09pZe6PdpQZDrAzC89E1WLuoB8Az5oakQ9R/4Jvavonb24zkw9A1VxPWyL9j331Xw9ZDKrPTCD3zxnRXc8WqZ3PTYkfLzti2c9eq4oPW7uerxjhJ88wACzuzepaLwrZ2K8cZuBvdDoW73XCpq8lvt5PGUjoL3XcQQ+/1CNPCUBBL1zfZG8jw0hvSUWqb0F9wc9AmOvvImEiLyMxms9NpZYPVvGoz1qTqE8jHg3PRqRCT1uluQ95IIhvckLSzzq7ZU9D4QIvuGvwz3897u7eWmWvQVyXL25zJ698VIzPTyTi71RTcG9DN44u9Xv1j1amQC9HVEaPVPxkTxnWtW9GksjPb8dHb2gPDW7fp0nvHw6or2WD5G983Z5PX8RO703Zv48ohsfvYld5r0iCQa+4aYtPROGszwf/DK8fgQ1PH/+pDt1pD69KwOBvYyGXrs5CoO9tqi7PR9IzD0qcX296WwgPfn8Lj0eEvu7prePPLcO8LwATVC9mhR4PFaRizyBtcA8DIUfPGx0przZoyo8A3hPvQGSMb3TR1o886tTPc0XsjzRgoE9Mw70u8Dstj3l1Nk9YygXvsB/kzyfF5E81A1jvPOEHr3IQcI9yUUmvrtW9zzDhI49MeaVPS9GvD2ca4w95vkOvvkJk7x93g28kROhvCkJjTykXj47lVpqPOcngT0vFKI9J35OvUfbNT7R8qQ9kElBvb5nxrydesK8zu6+PfJhfL03yh28Js1mvfz0mj35zQW9uX6MPQV03zufbpG9GSTguwIEbr3SqQo+ZuA3vcxW8b3i5p299VJzvSUY7Dy0YVe8Q/MOu6azQT3XDHw82jZvPJkAVz2lPbk9ImFYPcjtCD34vVC9NfeOPSfsxD0J42K9Gmx+OR/M0LwGNDY86uVVPNmxGT2HHLS80f92PXMJXr0gz7K8aSorvSGEaz14Ybm9K7arPcsL/L3bsHk90NHHvQbjcrzGj1K93FlPPSmCuz3xWqG9bzUlPrzUgjy95GG8svD8va8lc72Y0C+9MZp9PeIIbz0b56U8c8yjPQ==
10000005_200500_火,10000005,空,200500,初升之星,火,单手剑,5,N8XWvU0drLpd51I9LCEPvCpJVzxTuxG9f7FOPTHfjDxBzLG9XbnlO9r1OD0l2Gs8U8Gmve+IazyiFFu91ycuveUidD0MUZ+8Nhk3vKK9Hjv6MEW9zvUrPDCYyL3Ska69LFnmvJTxYD20VqA91cv/vcrgnr2BS/k9NNGvPM/c8jsv2809p76OPLuwvb30CDU7gdM6PRcBF7x3RZo9WIeJvD/D1b1X6MM9B0jvvJ/VJ7xSjqc7YBN+PbP3RLyvkCq9WDjNPC0wAjyD+LO80lBRvZLRnb2qydy9irVgO0mC5TpxM449H2qHvfn16D3ijMY9yaLXPS8aGrx8xNA85Y+2vIu/8D2IEiI9zbKpvHEMjr1eEUI94P9WPRWbBT7cEWQ9Me6sPc1w6zwWJ9A8/XZnPc8qZTt+j4c925otPQOgVrzbYto8VP91O8AjCTw/PWK8rxljveF8ib3Ucgi8CjnyvMgXub2aWgs+U4u3O+psn7zV6pG8KS4IvT02mL2h5MA7uiYHvJFF3byhcmw9zchMPf5ttz2WRxw91HA5PRNwwTzGjN89U9owvYqI0zzOMsA96KsEvgYHsj2BXhy8KK6FvZJ+Xb2NgLO9XXcnPWiygL3KrcW9RP4rvDZ0zT1QOMC8vqyCPUKow7vBvNS9RQr7PFbTDL03lQq9iWg7vH1+ur0meYC9DJEqPZPgH71XbcE8H0zSvKQz5L1e2N69+iMIPTWPLTz9xYC8uENGvEfReLwyD1G9jkFvvbOzrTyNUEu9xDjBPRcOwz3olZa98KDePP1lVj07NGQ89sCVOxcl3LwRgEi9K8l3PANCpzzKka483DygPKOx6bxbOhY9uQQ3vdCQXL0Zy5S3Os9UPXDEgrpbdYI9ECrgvJAQqj2wddA9BhQRvgmjPjz9y9Q8zDwmOwminbz8w4Y9Q34pvqb3+jzminU9STaqPTyQmT12Pak9ZkENvsz88btr0+S7eS3qu2YOzTvs0Hg70yEAO8ZpiT1UH7Q9SKsovXCIRz6mAr49TM87vSZxCr3D8JG8Vq6nPaL0eL0AwDG8YYBsvRsWmz3V8ES9O/dSPZOPn7rpt2S9pSYQOnWAbr1zzd49B6RbvSQPGr5A4Z299NU6vXxMHz2rCaM7hRl8u4uNUD05jhY8g3gAvKasJz3jYqA9OemMPauZ+DzS04u9JYiWPQww1D1s9AO9byLSuYSfQL0S4vI7n9QoPVtynTzSvBi9yD5kPTg2Jb2xVpG7SJ0jvVaoMT35wrS9EUyPPa+zC75tho09M3XWvZevsLyXe5S922BdPTjixj3cFZu9BBEdPvX6GbzwuyO9UhL6vTluj73RSl+9jCRGPck3nD3epjg8JAWgPQ==
10000005_200500_草,10000005,空,200500,初升之星,草,单手剑,5,BHrVvRvPT7pU1VU9RWi1u5esXTxWSgq94KtQPZtEfjwl3LK9pfQUPNwPQj1ej4E8A1+pvaEdGDwAL2a9ZYs4vaicez0J95O8f34tvIifpzsaKlK9CajwO7v/xr2sf6+9bDHxvAJ0Zz2nU589+r34vbI1l71hSPU9ml2bPPw9CDzZitI9xI6XPPqzvb1/4FI7195DPYIPFrwf0Z89PuaBvKB/171uB8Q9RHfmvPXILbwgE5Q7N610PR6vI7wegS+9/yrNPCG/uTupD7m82KdZvduAor1v8eC9wj+yO9sHnzi0b4o9N9GJvatT5z1PuMk9CxTbPVCEObyHXdY8OJC2vAMW8D2qriQ9bBCnvINwjb2pkjs9oixXPf1FBD7bRHU9X7qtPU5o4TyO/Mg8nIJsPQnGeDvjO4I9uIkjPYmwOLwcdco85bCUO/odvjv6Omq8MNNqvcUYg722xRi8BNPevMCavL1sFQw+fmqSOkA2pLxEiHu8EEULvavkl71b/Mo70MIPvCWc2LyBSmc9qOdKPbXytz0Jnw89HHQzPaLrvDxZq9w9aLInvTGw1Txdob49OFgGvuIxrT2QBSC8XUqCvXssV71ntra9rXAlPeBZg73H8cW9rtGguyfU0D2tBrK8fEd/PZxv6rsr8929w7gCPb2XDb0FJwO9o5N/vEDHsr3u0IO9hxUpPWXKJL18sK0862HTvLkp4L3VXt+95dQIPfaETDzgqIi8vrMnvNzAabwuHEy9Ns9tvWXUtjxYrlK9G5u9PQkDzz2cXZi9xI7VPJU6Qz1N0TU8zZqeOxd98LxHk0K98fCMPNZ8nDyReNA8b0uZPGhb4Lxswf883HNAvRXoZL27wiE7jK9MPam8UDuM7YQ9Cci/vFxUrj2Acsw9FEURvnt4dTwFF8g8C+kGOvgTnLyPcI096qwqvuuK8zz9yXM9DKiqPSwgnj06KKM9hOsLvq/T5rtgOtS7BooSvMUqAjzKntY7Q3JlOwSbij3znbE9OaouvdFTRT4lqL49UDlDvbowC70e24u8hHKoPWELdr1oUmW86gx1vR1LmT161E29HINMPW2A+brYcGu94EQKOjqTcb3gl949EdZYvWJ1Fb5JYaO9nok4vYyAGT36rcU5/DBru7+FTD37rLo7s4UNvCXxKj0SZZ89OhuKPWU+4zy0BYm9U4uTPf5n1D3YuQm9jhB0uRTYO72Pu+87LLAhPW38oDxcUxe9GdVaPRuDOL1IU+W7yA8svcDrMz1aPbu9PQaLPXzFCb4RMIs95EHcvSOMxbweHZi9YjNbPcxPxT30QJa9pC4gPjRQCbwRfya9Scr7vUUGkL19WVi9HD9HPaCtmD3+qC484DqhPQ==
