variant_id,item_class_id,item_name,material_type,food_base_name,quality_level,weapon_state,weapon_type,page,sort_order,embedding
food:100001:normal,food:100001:normal,苹果,食物,苹果,0,,,食物,1,1RtkvWL2Vj0pLIE9eWJPul9Smj0+ES07RCG/vMQrJr02QT49vTBQO2YK6jywUjE9CV2MvGnhVbpWEnY9hW8Pvc8hlTzmfN08JNiBOlEAVj2pS+m90MdjvnQ/+bsSkg67OLqKvYnkKj1y8Ei95oHXPIMbkb3cLDa9ApoBO2rR6L0hpUS9zwa1PQLUcj2ry4Q89l0ovX4kSb0LQre9L1zEvPLgnTw7V3w9xM0hPY/uD72Q1LY8FfgevrJfHr32nFq8tTDCPUiZmbtdTpQ9RoqzPDevPb1x+rO9j0J1PDc2JD3o6+87T2U3PK60Bj2FybG9x/DgPbYdPD3qhlc98w3GvVthM7zMEQ29nGbCuu0/ITw9Hdw9xacCvVOOdjy0Ngq+uyZPPc5bS71RsBk82ahJve+gY7xrN9s8UMwUPbvwcb0HwaK9NVxFPYHS8jxVAhi9JQiEPNkEjz3QFZG8iHQRvJQcrT3WXCc8FELlPNXDHj1Slwy8KHKtPdFDxL2SP0M9bmFxPZccGr3/oVY9OMwpvokqED7Obtq8g2asPY/4TL1I2ww+aA08vfwU6TzzUTe9cQyNvTD0Qr2LCl89+bauPfJ2vD0yHIa9t8UTPW+1GL0XlcG8S9auPISLSj2OvnE9Z3mmPRbnBj2g8968+oRgvUaQ0D2ULIw8nUgEPH21JL2+PfG8bij3PInqqzv1GRq9KAFLPdS8DD30RMW8SV++ves2qrzJxgE+G7NmvblYoTzSgyO8AaRzPXvnKL0h/p48wa1XPFfGv7u1+/M9ZOt+PN+i0zwJU5g9kynyvHczVD2ObQ49cAXivfekfz33eiM92TkSu6Uysb1T+o69dlJPPEfbhTyuW+87qzBKPbocnz3oejE7/YcJPoe+w7wZGeM8FDY7PegGMr0Er5M8yVNCO6PrkL0U66Q952uFvGo+1Ty366S7rt4tPuCCZj3THxg9KHgmPf8xlLw6gPC8AdDIvPXOSr11LB68Q1LGvZBYyL33+P+8QCDhvMVbLzxnlmQ8pxrIPVsJkjzORS49fumKPKH5pDzTvMO8BcLEvbdHCT1N4749nfsrPazp7Tuy8I09qFObvaUyaD0GDaa9IgCpPM15zjybNVw9F46IPXB/bD1XIt095XTMPMLRUT3aab89M/kWPcsrpbxYjaC9NVCqvNs+QD3leam9aj4Qvi+MiD32Xm08N4Xnvc3Igr1oVJ69fmdwvJPqjbwO8dM9tqSCvU4Pjz3YMHA96yOXvYiD97z5srq8k/PoPcy5s7wQ4PC9SVCvvAdKBr1v12s9sN4KPtg5oT3NxYK9ll9tvQNfcbyZyoq910ZYPqlvjz2gfiI9i46tvOCfhL1EYha7TUwlvA==
food:100002:normal,food:100002:normal,日落果,食物,日落果,0,,,食物,2,dXNqvTeHCbzD2C29hFAmPBl0rj1BakE8Rse3vJD6IzwEXTk9dlARPFlf0r1wRko8+7pwvMz99zwWO6+9e5/UvYt6Tj2CRQg9h1a+PWSf4LwhWp29C12TvXiGDrxAAI49iSyzvbyDDLyDBEa9dJuHPdJlIb01gqa9icTmvXZnaL0J0im9bzQzPJpjPL1WvsQ9ObHsu9Gu7Dw/UQ29SnKLPUAByD3DY6k9OgCWvTGX670EGQM8dWAzvVAaLLxZQ9A970hgvSOYQDzioey8t3ILvfHv3zwUhvQ8VEcLPRPJGz234V68CZGePSpyk72bZ8M9cmf/vbz8Dz2QNhE+Id+luwECHL3SUes9EkcLu3YjID3yBEa9P1hHPF/YjT1Wmao9D96sPP3DLLw77EW+p3r4O2t5LjzgywA9OWuyPcZvo70k7b+9VTmBPUDNAr1ue4m9DEbnPKqLv73/sj+8NvS6PFUVVD19xKO8eG2xu7C5VD0WcSk9fN0nPMkFC70bPKI8/NrkvRclrzscM5O9IZi/vddO7D2jzE28wlFEPS7Izb1eLQ09pCkZveLR0LyXCAW9jzCUvB87FT2bOoc9SJTxPTIIkr0G0Rk+XnPYPKsBzb16H7G9jn0iPOuh3b2tOJm8ZwcPvUklCr26kBC8A+HfvU/Blj3m4+y6r5WTO8HCfr3NrbK9yCjcvHlTNLz3VxQ9crc1PcGgGT2xU4A8ZPqjPQVDiT2Z4dk8ohnuvTn9kL07H468sAuyPQKC3j0jqui6sIrevQdoQb2CcYe9YeEgPIurwT3mYeq9FlPdveMoD77O1GW99brOveym8z3dq4M9gL0rPQPwqDsUpkS9pDhnvdxR57zRazy7en9mu47COb1CPQ08Amh8PW6frT0tB3G9w2UmvRulnD3s97c9B9MkvXSmULt3IIw8Wh6ou1NPBL6jDVS9nycKvVKAoT197ae8iaZoPAxW8bzWCRO+1UQGPaMoBr20Z9S8wZ+HveoGmz0koUo7czdVvWISo719WOI72b/pPPvqMT2DZYU8QJ2PvQuQKb36HSy9huBgPSxkkb0pHhC8MzGDPZWS/zsMWZM771XJu1PHgL1Q1MI8kAcRPDPLEL2NClo9zxkTvby1QDtp7yc9wFSvvQFl8D19ndK8YMavvERAobzLqjO90nrWPQktmbxTyo68RRaGudAwkTyQVZK8KUUdPcxieD3q+io8boEgPRfBEL0Oaxi+YJDIvGbXBD2jY8M84oLCPdHWCr7Md1W9wq97PQcbyDycKem9QcvWu2Rrij3LOlO9SQGMOmU5sj2wLis9k1JYvVqeLzypvY+9XvDYulIosTwcBiu9fFzcvU8hQT2Jssk6fz4lPQ==
food:100328:normal,food:100328:normal,「强水」,食物,「强水」,3,,,食物,33,Dc6hPKolzD06nLy9MPd1vZqWGD3yf7g9AZSbua5GDj3qR8G9YOckOyR25r1Mbs09qCykPU8jlzyPQMA8MWiXvZSz6bzgkWC9UmAtPdlghj2dSES9GTXDvCvxfrw10pk9Pvg8PVwPrr398h+8f6/gPFmF173hqIK91tV7PSQy/zznfsM7IGIGPWlSFb23LFM95bZJvfKlRj0gJ7E8yT43PC1SI722Hfg72Ms1vA8IMD3S53q99N9gO8YTrj31PTc+bZjpvFoRHT2IzqU9OKMvvY7gTr3U5S29Y/8eveLXdD1U9Ek9E7TtvcP97T2Zd7G9ppyOvcl5pbzRZUK9QAnDPQEI6L0v+KM9WXfXvcTzjbyYyJm6swksvCKfHD7FKlo9z4koPaB+6DvFpnm7mpZlPG/GiD2/Sf67sCT4PJVhur2sdI09SKUqPNZTnrzvvDe5SrW8PWUHC7zstYc9hg+VPbwauD1hZh27TS/PvDvA/r028GG9axaFvbJ8qD1eXvk8BLTuO/7RTD0unhC9S2RqvBthgTz/7MK9aTUNvU3PGLt8X6M59YYTvtvO4TypeOu8cb/rvUrVpDxtUWq9pM/wPcesMr3IHTK8lUJvPe0ekr0Q1bM9wwAcPjd2b72Rm6S9IwpzvCtDyzsF9sM9f5BfvQfDsLuCInG9zkl6PZqqaz0JI1i9Y0u+vLKajjxvhZ693YYDvZynpryUNSU9jqebvPu3rLwuBR29Y+RZPQhlD758s989XjNuPcRbVD3Vv7k9D6bvvT4QwDvuZZE9lhjPPW7K/D1+TMW8iSGDPWsOYr2Q19o9ig4vPfCZyz2ot7o7kGHWvGEaNbzwNAa93YGjvbBX7LunwJ27Mgh1PHiuiL2tMky9XAFNPcRr7r2x7Is918kbvZGa6bwKpOo7i6cVO9OCi72CtSk98SrHvWP7+z03pYI9bu41PHLnIb0rf029vHSxu37kebzx1129wL1gvf39vD14uT49I4LjvcJ1Eb2BINW9mLu0uwWpjD2URGu9QfpTPeRUwzyauao9AS/MvcIUmT024j294ZhBvVFz2rqnU5k9PtmzO8JoYjxViZy7kjFXOzroGz22t9K992P0O0AXv7yyf+s8orO3vZLqkryUF549sZAQvdmQh72cRTq7qFQjvWKlVbxSBJi9UN1oPHLsqjyitoG8EQcVvGM1ED3SmqC9R+UBvcNYmrykl8G9iAVGvayFAL5z1Qm9h9YBvunz5DuVGA090uqjvOSC9DmR9zM8APWiu62z1L2dTa68YQCsvdiBMj3LV429e0AuPoU43zxeXqc8AnksPY3YLL0xV4Q9xmKlvN00zbsFcJ48AHZevQ7LjTx9+ZS8COCcvA==
food:100428:delicious,food:100428:delicious,美味的杏仁豆腐,食物,杏仁豆腐,2,,,食物,818,CPysu6tDpjxGF0o6oWi5PZd7B70VL+O82BkEvKRsGTu3Vly9sd1OPXfiFj3GwLm9bHnGPX5nxrzzNmM9ifcivp2JgrwH0LK9HY8KPkIveT2MPxu+0VlvvPJsLryrVTu9e49vvZM4TT0LYu69lqHpPeG4nz0qg4+9CwHGvYl8gr2Vksk89rAiPkcbMr0ow348aZH0vNmD3b1hms0908dFPMLi1D3DwZW7lQGBvabWpLybaZS83/3DvOpgNz2KP729BAyAvBkaMzvxUlC8RYexvGHfBj5mylI9BJOsvZ3FrDzYlrg9PvLJvKwlhb3EQG68vlupPfO2QL1iqb88F8j8vaWqJrv+KcM9VDMwvTf4nT0bmEc94+xFvJLCgbyjU/g9r7HcPX6eJD2qsQi8gRs3PW85uL3vaKY9HB0pPRDHTb38NG29H2vGvKtfPL2yUrG9xLBFvXEKUz3DGXC9O8scPrIDkDyAnuq9pu5hPD6/07y5Mhs9WuuRvTgZjz1nfzM8DOYKvriDLz0ZYig97waFPXnr/7x9RQQ70CNDvWzwpLw9FIy8KlKjvNZBl7ztRCQ7HggtvR4RMz1o6Ke97vLFPLGEULzOnrW7UggGPJgJAr74Yja9SEIqPpsCWzyfXR095+gSvVGGBL310R+7NQxUvZdMqj1Kp389Kk0UvAI6rj0b4589gtCOOyu+OToC0ao8HXI2PX+RNDyY8K47Za4lvZ53kD1axPy8irCHvV28k7tllPo9uM7ePLSbxLr0N609LWAjPWkYPr3JaqQ9nuO7OgVEvT3JI429UkAivU2KzzwZd466CRkVvXEhBb0TV/E8UUEEPfgEwL2gCGQ8OrgGvGR9ezyLlJk9ou1XPbLWYz1DALq91Si0PK5yTb0hXAG93ADBuxU70zz3z7g8tOV7PRNOND3HQIS9STjUvLTJFjyu3K489pfGvbXrnTsYZdi7FgitvdN8a73loYq9+IMAO8FOqr0RRNq4HKjuOZc8jDzqKxU9gawWuzmFYL20Rbm9pQMPvc9qkb0or4I8tXHWvUZpm72k85K9SZmvPFvbHz3N44s9ZjyVPEfJo7yYxha+Q2kkPFQTkD18Ivk9CfaEuhdhKb3y6IW9NiS7vKmmqbyM1Qa7UTBPvTOFRbzpFPQ9hCBtPFJjhb1FcKw85y47vWRaub3Y1w6+sPIxPRFQHr0cizK8NM5EvZ9dHb3I0K299ctIvbBkv70jzA89DM+hPeH6DD41VGC9L6vqvI4XEz1iKQi9wjvvPWST4TwkAiW7+KQLvcuiLj3rNag8dC15PFSJYT07lq+930FgvYhMnr0JSgu+sVKoPNhKL72ic0u8gNt0PVBwSb17vpI9nOj8PA==
food:100428:normal,food:100428:normal,杏仁豆腐,食物,杏仁豆腐,2,,,食物,817,Gk5/vQbVCD6GoAq9aiwKPYGcxTwXeL289vKyvYFiib1n3Rq8ugD3u1Uqqz1Dafy9z9jGPU2L0rzWCAg9HLOUvIZ5grwfPoQ9xxPuPItf9Dz+lSu+EqgmvjUK4rthJGo9cqjsu2J7rTp8gfK9pWMLPcGVnj3zSPq90gncvNIhR70qV/U8jHDuuyxcAb5rZsk9UimpvbjYKb3X2a89jn2WPNuSRz0rOyo7bITxO06JXb0g3J+76rGsvc6wJr3LoQG+7TBivZw+ET2qwJ29D3KEvLyj7j0c5k09CMUxvWs3pT1PLY07s5d7PWaauLpmsCO8JVYLOyP5Wz2h0YS9TyrOO/9BSDwhHys9jc+NvZcYpT2KpDe8i10GPbg2Cz3Hymo92gV3PnGQnbz00GK9EtGrvdcZTb3QaM48m3WCOhcL07sriAK+r0m/PZfkK7zYPYe9sFm5O/4qdTxs6Y69FVMGPqYOhD15VlC9LNwHvjgyDzyuDuo8jHZCvdp4Ij00gxK9jy6dvN0zYD2uMVk9elpjPRbVYD01gIk85e7VvWONjbyRC7+65luTvU5bU72Muh29tnfpu0g0Wzy3KA++gjoTPfp65j0BQHa9SCUqvHFSCb4GrPQ8viMMPnjM/jxZVaY9Skjdu36mJ71FjlE9kJwHPQW+uT2/EFY9dpW1Pe2mmT0o7IW9zJKivIXtiDuKjpC7vkiVPdgos7yMCzm8V1aGvbC12zvhgBE9MqEkva4FjjzPYPg9/8mjPcGrKb3FwBk+k7iUvCs5E73bRgE8cblzvWiD4T3mhlW8ujfYPO7ep71CaRI8/zSBvdxdkz0Tam49OUJ/vV31Hjxrdti98tPmvOIGtb1OVrc92OAIvZuYM737F4a9GFa3PVrSnzy5HJq9CJ+3O81ErjwM9FW8WoI7PVuNxL2BPrc8WDeEvUfUpb1wkYC8WmS5PWaKmT0VDpC79ly1vIZDVr0/7zM9C7SsvV0wOb1CxCe+R0+Bvcibqzz0GKy9L157veYOA7zvcGC9ELP3PGlfzTylGN07ujssvdYowb28o+68lyNzPNvhJ726/zA9DnVHvU5zaj3woCe8aMjePBv3uz29aJu9r9e6O3XPFLvdMLY8w31LvQcqWr0caPY8+TiJO/bvtbyNd+Q82eNfPIw5Pb3oSzm9StBhvJipGjxLHJW98Eu5vAZyXT0zWs+7kR78PHv6YbyGrZm9svxWvdWmiDwMXya9+4RzPZLloT2ZNZG9r35BO7J7TT0ZvpY9MPWNPaYaCz0Qtym9dzQbvfT98DyM5ue8ssTBvdpT8LxLBBg9DSpJPIoyJLyG+9y9CTW4PK9Mjb1e8K48FTuSPAqYGj3/tj89DsmyPA==
food:100428:weird,food:100428:weird,奇怪的杏仁豆腐,食物,杏仁豆腐,2,,,食物,816,NPKJvUZ4ED7KtAe92FeOu+8mlTwINeE8VSRMvTdL1btkqiw8qThpPKNiUD35AFK92yKpPUD/PL2z+Ic9j0b2vF++5ruWO748PaaBPSHSWz0mSRe+JtY/vhfGXL1RK0Y9i1IMPOLM7jzueyq+JNA5u1rF4zwM8sm9Rok8PLtBS721dhQ9lRDEPPl0Gr58Z4k9zXZNvR5Pn71b1pA9G29DulI3WD1AtSw9HCqdPWIJTL0x78q8qC0zvcMLNL1ZYgO+PgSKvAFCLz0c+xu9TTkEPZSOnT3B5KI9v7tQPTihwj0A1OA89viYPVhzmzznMwu90GgJPC4lJD0+YYG929ZGPVFG0rv98ow9UeaUvZhuJj1v8cW7gxuvPdu0LD3yjEc9gq5APlcGuLx3oj69SJi/vY2ExDy1uMM9iPvKPGUER70tKEG9NqmxPZNT07v0l8+9IKWiPCLPdT3X/qm9w9uqPTIoSz3a5cy842PwvfQy8Dy7aoo8S5TQvUx8Xj0u7Jq9V1ApvGnzAD2YC5g9J/AXPaY3uT3g0a47Elafvbxxh7wI0ge9ypcGvuH1qb3hHjS8NV+Fu+Lx6zvrzdu9FVO9vDBasD1veOA7UdE4PQQ5pL1Ak+U8TecwPgvNbrwJBYM91x2kPFIfBr0l4sE9rPJePZ0X67qW6Og9JKvkPWhSMz1HGZ69tsxVO6S6zbwObRg8HfxgPaZAD7yY6Ki8/gSgvfeuHzxERAE9KeqYvCmX/TxG8eE9j6WePfpiqr0hCbU9azkbPSsjdb0CGE88Od86vdeKBT48HLC9F+IUvXBB4b29cqq87jSavX5nHD3mvEg7iOJHvcF2tDx9Z7q9NK0KvaQhAr1AlIk9kL4Ou+Y1XLx7C/+7KWetPBCMp7vfRpS9/6ZmvWQXSz2VyBO9wT36PHp2vb10MBs8Li3avWELh70PuY69D2OgPFOsJj0PGpg93lHhvJO2Nr1h4kw8o27wvRZ1k73Whjy+2GSyvZ0bfD2Y7I+989ZtvK+KAL3zOFK84iAoO0pwpD3Pe2I884YwOqXiFr3AK/i8wLw2uyS7Rr2DE2k9e/dRvW4jIj2Q1Uy9GMhVPYhM4j03Wmm9w3NSvZlCKzyO5cg8PYEwvdeogb0ZGJI9w4Epva6FQ7ytdDQ9lEkhvdJTUb29QsK8jd6jPNG3q72Z2a+9NjEhvUHI1DyS7486QAwQPWk5oj0y5iy9v3vgO8+2Tr3Y1we8tqGdPXq0nT2wboQ8Ef4ivYYe1DygfQw9QvOmPaex+Dz4ivC8taKfvS2XjDxZ7HS8/YrLvS7MmbunAcW87lRoPQVurb0+/7+9+tmMvJnM97xw0hg9olpMPLWZvT00DMQ8ftxSug==
food:101212:normal,food:101212:normal,星蕈,食物,星蕈,0,,,食物,3,VaC5PTl0Jz7TMPo8lOqHu4VSU728qsY9u+pIvSjVxzx4jXM8f24xvtiaBD4v5Nw60pJDPc2wAr6mVfi72rZFPVeIpDtklh87e0llPK5Jor09JXa90XgdvVFcgTyNDMI8vD+avQvazjzSing7f/a9vB8+4jxsoIG8BuHQvXmSWT26yY681AvmvVsStjyhlfg75JmxvSDK6D0xiR89T1SEPDrJq724Krm9AsEYvTshGr68bdK8G4oBvoOLD7685mu9JFk/vT4Laz1z4xe9WvGePBPuoD24yhe9CUyku6/uAjzNwr+8qV2NPTnj2juF9IG9kNXaPdG+MT3tmSk9GtgSPVuOLD1Gcfm8tTNrvTp2Xz2bAEu9afCcveL5WL2gDp08tUWSPd7CLL0iMLI8VLYGvjFb/Dw+vrY8NyxhPnvZzD11cJK9l8EKPk4iXrziugA9VIHUuzOp47xFg428pw1aPHAmBL08iHk7MOh0vIyikr1TAcs97riOvaSJJb32UVQ7fo4gPbvdx7zqYYq9QloKutO4jrsLd/c7vhHBPDv3EL5J+0q8EWP8vSwSqbzSgmW94OIKPc+eLr0VP2U8pGIVvSjC5T1Wfl69lHAfvJ/tljwef6M7oGAYPSTfEjyBUAU9xVGGPDqRg73n6yC9mbsAPcMz+D0Kgy28YZ++vaD96bxtss07MNFGvMpTw72OHB29FEw3PSC+2Dwqfku8TOcsvuLoWr0gF+4895eVPXFY0bz6Cdw8BgEwOs4olL1TJe48Bj66vWDci709+og9NsFNvabktby1g/o846S8PD43nb1qQRq85WJhvaPzvL1G6ke6PDsdPfyVcryFaQK+7GK5PLclu73lq188NkDiPNaRur1OZU89aIc7PryrJb2hgaW8ViUPvMRgtLxrclK9g9R+PTv2gr19i4s7efzjO1rorr3y6hY9FjYwPiD3v7y7P7W949THPIfe67uyVt48CSKLPFsSgj1hKSC6aBDlPF9MNr2npI09SnagvVbzs7y7XTi9ipXkPCZ4Qbs9+is+6i61PFFzsL2sUgM+zwrDPbt7GTtoFno8N5oPvUOF+rxCLdU9bG4zPfKzAz2ZVVQ9LIw1vetkzbzmT689o5qYvFxqW7xqJys8q98lPYaiVjuvHVa70TbXPZ3TkD2PRrQ7ZegUvRqGyTcWnsY9JqbTPPxdvD14qXI974n/vFJbPb3mXFo9ZhgUvRe/8jzjB6o8M8GJvBQjkjwjhA89f0bKPIeAAL3KlXo9GcaEPa0fmjxU2gU8+Iiqu72C1Dzfqag7sX2Gur80eL0jPsC84Ri7PA8w2LxnEQ++lvgfvDLlAr3jAYW86ZkbPLXFoDsjnHu9z7M6vQ==
food:101226:normal,food:101226:normal,活化的星蕈,食物,活化的星蕈,0,,,食物,4,XJelPRlZwj0SFym9W31BvFCY6L27xto9HO/Uu1I+Cz0ZuFO8RA/Yvdy2wD3DVnM85qV1PXzgtL3tMY69fe9uvWBqvbxgS5C9136VPc81Sbys3Re9pE/wPOYPWbtdBt87S+S6vRSOgLwV65K83/hpPYq5Oz34LuY7z3cnvmk0Pz04Q2O9YvhUvAme7j3gJwO9HgGIvV1NoD0clLk9p5lfvP5gZL0Ypy29hu6RPM6MyL0Mlr28jeauvW/qbL0b8Tw7gyMqvRBd+Ty8HqO8la09vZeO2T2xV5A8G5CnOxR2+DtwQww63Xs5PKMBIL3qHqm9Qq4SPgV7zTv6I5A92pBxvWf7izzCVqe5PYyYvK5qZD0ae9e7OBYQvh5dzr1ys1c9VJBTPXPtRbw8sfE8yO2ivJ1KJj2wiaI9d3xoPr/sZT1s8yE75FPaPLtYx70WRNg5qVKXvdwqDTwK/cW8AnY9PZdQPL1VdHq9Q18KPndlE77FDtU9VlqcvRA/DL1bxKc8qfJuva/npL1TRLS9ubBEvNCskr0vhQo9nL6MPSS8t73SRSs9GmmfveDcjTzIlq68uDlKPWAdvzxEGGo9vzEDveO4NT1FWMg6ZAy3PAMiKTuk1iO8VwPJPVVgJr0xKYG8kU6NvEjVq72l9jW9J/zrO2Ztwz1T4ny8vmIgvmksKb0kjKo99+EPPWWlvbzWxNc7l+OCOy6HYT25Klm9B4kgviJqm7y2Alq8jtIiPUFfdb21ZBk9v7fvvLSqVr2bPU08r0ScPJYSFL2DNec9lULbvO+nXL0/XtK8/DGSPOV1P7vNNXy7LCEPvXFw+L1dabc8iPiuPVX1JL318T69sm4nPS5wybu47YC740zhPbzri70N0/68Q+IpPgJDIbxhJyA8k9A1vQfa/bqXISG9w324PYcfEz1UFnK9jeiRvMeSkrwPC689RlmkPWI9JL0SQQO+j/qAvCuX6LxF4bO8rci4PXTKlT1hMIs91VODPSKMqryKudo9njXPvJi1lb0jdpG9fHqBuzU+er1ssPk97VOHvTKTQr2AWpU9/TR/PeYJEj1QJZ89KOyMPelMkL2O5Cm90k1CvPmgpj02PwQ+YIjyuwWBbLwX0JG7+Be0vXH2lrxPK5Y8egkQvD0BFj3U3og9Zyi3PSPkVzyN7DI93q/gvIHSCL0aWpo9htJoPcWCBz2Y29M7DncbvYQ6mbwL/wQ97bsovVJFir2c0Sg9KdhbvFtkAz4b7T696AcePYEUAL20jx09BYaDPc4pXTwn2LO78UooPHxBLD1cMxg9AUDlPFemIz3UPAy+jIL9u8Uykb32UPi9M/QRPd377bw6ZrO8K50pPP90s72iSgc98+QDPQ==
food:101227:normal,food:101227:normal,枯焦的星蕈,食物,枯焦的星蕈,0,,,食物,5,UGWyPV7qRjwOExS9zQ9Eu7bIhjzJYEA9NVxDPHuI7z3cqxc9niBlvQd5pD0YN7g8OqumPOMqnL12FDA9Fp2bPM4YF736MGC9YMMDPK7juL1IP5w9LTf+u8qnvDxjHlc9WQ4xPQgCWD2sR6e7z+UmPexWR7vWFq28rJiUvTJxnT2DKgm991YHvnkFoL2uFJo9+Kdsva57+j3+mzS9QGGUvLvin7qK8BK97Is8vVtgwr2HudW8vXkcO+oKRr1aCLs8n/MmvTU9XjxCKjo87qWWPRo5MD1FS6w7wcsJvTwcuj1LkaO8jl2WvGPgmrwmYqe9dJy1vLrAurxdFSs+JQqovKkZnj1RazK9n1b9PNOzsLv2dFc6+/8jvfA+o70blWQ96g4GPRoRRL2pKzy8RF4/vdKs9TvUwW89IC/8PZBvlD0XlQk80amgu8wTtDy6FAw9W74ZvVBfgz0z1om9X09EPLwtWL2NHNo89IuPvYYBoDuoBC49cN97veJmfj2eSgG9SR0fvXK8Ob2ypVO5ojoIPUR/+jzdXIg92DVovXBTnrycomG9+Z6NvXSeCj18NPU7v1iFPGmkBzzjZUa8wwyMPYy6iz22HSA7Qp7uPHuqZ71FeKS8pgl7PZu82zzvYo09zVhuveCDA7ynC7c9v/r3PMXh4D3GRi69j7CsvYMt87ufYGM9PQQ6vVH4fb2rTCm7Va9suxqWTj0j7AO9cC8IvhGUEb1UuZM9eskoPYJ1Fr2eucu9LzFxPCZlnL21gkI8EvLYvb2a7L1wALg94BRQvVDvzDwWKoq9xVinvcspBr6lehs+yQyhvRgaTb0Y+bc9N3mgu9cOmbuv38C9MQyxvJuYr70RU1+9LcmuPU8jLDvZEDU9zno6PshRNzyVT4K9jPNNPV2E6rs3fiY8EtaJvWy92rtSBLc97LYdvibIoL0aPNY95ET4PC7Yvzz/0wW9RGgDPvgvuj3HlGg9BBEvvSQDibzbSag96/eMvZ0cu7077MS8yBWSvTdryz2OQRg91PtsPT+hIj3e2Io9EUDWu1c8Y73D7Qo+fe3VPH9UXrwIe9a8GFw6vTDfAL2lhf+86QiPPe87o73An7S9g4EwvS1oGLyqnpU9qrtXvc3Adr12xWm9I9QavESxND1MbBu9hakOPn8Qyj1MFxy6jJlnPYERhL10rCI9bMB9Pci2Zj3QflO9hSrYveV++TtgfAw9mjrgvAFfnD3Ks3o9LKRjPaDflT3BTpw9okGePYDYo7yUtyw+pFrvu9+gAL1wXiA8+WeBvEapiT0EVzo8gDaovFP6XDmpnKi7P/dsPQTx87wVUWK+lXqUvcqMCD2fjiW8avGYvQ3yyTvoeBa9pDvjvQ==
food:101230:normal,food:101230:normal,泡泡桔,食物,泡泡桔,0,,,食物,6,upNRvW7of72ZT4G9v3u5PCRKxDzJfxo9Lo6vu64kaz0BII29wc8tvXd3Xz3R6Gs8apeIPTwZfLwq6Lu7+NYRvcGQ/7svgOw85wYKvVmnar2Jy2u9BiuUvXx2i7x7zwU9nfkdvRp5XLwZTsG9QaNJu3eaT7umqwA73gROvelznb2MlAq9tmXePF9Nr7z9CjO8QwSbvO8ugz1RX8M9GEPBPK9Kxz30ERS9pyCePE/wwD2GRei8sstBPU2wLD6nbl+7wU85vc4m5z1nzY+9Ed3lPOupxLu+aLu8ZZhSuMBraT0v5YA9OYNeO1zse712yog9lHT1vFNvYbxJgXU8T3/OPRCQgb2C/KA9Qv4ePTuAUjxZ11C9F7FAumJ1+DzgqLY7uDjlPTCKs72//BO+oj6hvKu6Nz3SFfG7y4OIPfAIgD3ui3m9LXwdvNouK724ipY8tqiVPV2zSTwdOqe9ENZLvZ/IIr14ND28WywgPTQfVL3Yil29Cir+ujrZ7TspFYi9SgOlO4MbVLsFNHE92AZZvZwb6zwO1i08uluLPZOLN70eIkk7xSZHvtmswL2Yf7E8sM9IPGkS9Lz7KVu9zIaCvfPXlb0UG+w99MzyPVNCc72z8Qe9WefWu+/lCb4g4tm8Z9qnPWP5gT2ELUW7AfR+vetuTT2Ru8s92kSivFFgr72MjMG9MDutO6S3Nz1PlIs9RXnRvTT0vzx5IW09neeYO3Wqcb363x28ObNzvRq63b0qllS8Mn0wPWoZUbqdME27oXzpPOpNsD3IyFC8vfTUPR28EjxSH/K8/UM3vHT9B70ampw6OxFKvbvRij0oRNW6djPBPYIkOr7bNxY9yDLivWsGnT0ePY09UrjyPV4lXr2PPk+8v51pPbYfqjyLlsk9W5QGPb9q6DneGbi8FwQhvZ7HQL1Z3hy9jW9avYgWwb2V6SE9cQeLPeOvDzqz8uw9o95vvA6rmbtwTsW9Nas2vBwiBby1too9NRtFvQbp8j1OE+M9AYPIOkrPSjzuuIE80jakvKDmDb3V+gO9ILx9vLMzvrx67o+9YY7WvL0FaD29gLK82/HxPYrp27vrO5e7QotQvEXdgL3Ozhg8kd0APQPEgL2HIGo9CTrjPPufPz2wh309v18ZvLlK1z323c08JQPSvE7//z2oU2Q8wG7NPa+VczyE6Um+cgaPvacYmLzGkO+9HLelPAK0pb3KZJ49KlAWvOssUL0TQOq9b6fGPBtWVz1jXho8NJVSPW6z3LyZbci92v3LPUG2eT3dJQ6+cn5XPRhsnD2pZoK93aWWPP7ChT02ZR++vrDdvCnUlr1H2Xg81BCfO9PhfbwMmho8lqVBvTcxDD7GjZE9+86JPQ==
